epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2684,2.12392,3.39253,1.08512,0.03526,0.74526,0.0695,0.02959,1.76605,3.202,0.9693,0.00026,0.00026,0.00026
2,7.01561,1.89552,1.60845,0.99375,0.03788,0.80081,0.07285,0.03163,1.52436,2.91327,0.96951,0.000529308,0.000529308,0.000529308
3,9.5684,1.6948,1.30661,0.98091,0.035,0.73984,0.04992,0.02517,1.43272,3.01993,0.94455,0.000787528,0.000787528,0.000787528
4,12.1236,1.6196,1.14361,0.95487,0.03295,0.69648,0.19006,0.10223,1.46651,2.95952,0.94621,0.00103466,0.00103466,0.00103466
5,14.6367,1.65067,1.08523,0.92737,0.78442,0.57194,0.6197,0.31185,1.46148,2.42865,0.94258,0.0012707,0.0012707,0.0012707
6,17.1602,1.64476,1.0571,0.95097,0.87445,0.30202,0.72972,0.39378,1.37615,2.12303,0.93573,0.00149566,0.00149566,0.00149566
7,19.6991,1.68524,1.05676,0.93538,0.87999,0.79675,0.89971,0.50685,1.36303,1.46855,0.93503,0.00170953,0.00170953,0.00170953
8,22.1988,1.53161,0.95247,0.93704,0.8829,0.86992,0.92973,0.54981,1.31264,1.17756,0.92049,0.0017228,0.0017228,0.0017228
9,24.7028,1.59137,1.00536,0.95369,0.87236,0.80568,0.89618,0.49548,1.32798,1.48481,0.92164,0.0016832,0.0016832,0.0016832
10,27.2265,1.50507,0.93139,0.92688,0.88735,0.88587,0.94977,0.58109,1.28752,0.88478,0.92466,0.0016436,0.0016436,0.0016436
11,29.7448,1.48099,0.88769,0.91466,0.91456,0.84146,0.93579,0.58309,1.28619,0.83631,0.92563,0.001604,0.001604,0.001604
12,32.304,1.55157,0.90619,0.92312,0.88669,0.87398,0.93528,0.58352,1.28174,0.81872,0.91881,0.0015644,0.0015644,0.0015644
13,34.8488,1.49169,0.87863,0.91034,0.92978,0.87805,0.95148,0.5821,1.27442,0.78769,0.91759,0.0015248,0.0015248,0.0015248
14,37.3794,1.49192,0.85197,0.9143,0.94105,0.87805,0.96317,0.62162,1.23124,0.76225,0.90918,0.0014852,0.0014852,0.0014852
15,41.4946,1.40517,0.81882,0.90697,0.94471,0.91057,0.97449,0.63199,1.17311,0.77346,0.89952,0.0014456,0.0014456,0.0014456
16,44.0247,1.35718,0.79754,0.90033,0.92988,0.91643,0.9685,0.62726,1.18185,0.70077,0.90223,0.001406,0.001406,0.001406
17,46.6748,1.41994,0.79942,0.90674,0.93493,0.8916,0.96649,0.60589,1.20157,0.6995,0.90332,0.0013664,0.0013664,0.0013664
18,49.1847,1.36517,0.78043,0.8989,0.92831,0.91245,0.96617,0.63322,1.1908,0.68008,0.90097,0.0013268,0.0013268,0.0013268
19,51.7108,1.37232,0.78048,0.904,0.93328,0.92412,0.97493,0.6421,1.19274,0.68638,0.9011,0.0012872,0.0012872,0.0012872
20,54.2432,1.41227,0.78599,0.91001,0.92188,0.93496,0.97644,0.65065,1.13408,0.68057,0.88976,0.0012476,0.0012476,0.0012476
21,56.7489,1.34155,0.76467,0.88832,0.94627,0.93075,0.97699,0.65518,1.13242,0.63382,0.89332,0.001208,0.001208,0.001208
22,59.4327,1.34215,0.75239,0.89572,0.95403,0.928,0.98026,0.646,1.13547,0.64137,0.89111,0.0011684,0.0011684,0.0011684
23,62.0473,1.37143,0.75304,0.90258,0.93529,0.92412,0.97589,0.6507,1.15154,0.6509,0.8947,0.0011288,0.0011288,0.0011288
24,64.5619,1.34009,0.7397,0.88617,0.93373,0.93547,0.97782,0.63575,1.1879,0.64704,0.89699,0.0010892,0.0010892,0.0010892
25,67.216,1.29293,0.71233,0.89409,0.94664,0.93757,0.9815,0.66583,1.1616,0.63217,0.8941,0.0010496,0.0010496,0.0010496
26,69.7504,1.32113,0.73432,0.88522,0.94051,0.93631,0.97285,0.67145,1.10899,0.62385,0.88707,0.00101,0.00101,0.00101
27,72.2524,1.26147,0.69237,0.87716,0.94751,0.92954,0.97551,0.66277,1.14401,0.61392,0.89622,0.0009704,0.0009704,0.0009704
28,74.7311,1.27458,0.6902,0.88808,0.93022,0.93927,0.98195,0.64178,1.153,0.63737,0.89036,0.0009308,0.0009308,0.0009308
29,77.2188,1.30498,0.6993,0.88578,0.94767,0.94038,0.9821,0.67028,1.14537,0.60842,0.89133,0.0008912,0.0008912,0.0008912
30,79.693,1.23252,0.68235,0.88738,0.95852,0.93941,0.98484,0.6891,1.05685,0.5875,0.8772,0.0008516,0.0008516,0.0008516
31,82.1651,1.19251,0.65872,0.87102,0.94581,0.94595,0.98302,0.67177,1.13096,0.58907,0.88899,0.000812,0.000812,0.000812
32,84.6841,1.2465,0.67174,0.88019,0.94077,0.94851,0.98353,0.67419,1.09618,0.59244,0.87878,0.0007724,0.0007724,0.0007724
33,87.2211,1.24789,0.67468,0.87693,0.94495,0.94851,0.98379,0.69114,1.08731,0.57645,0.87958,0.0007328,0.0007328,0.0007328
34,89.8855,1.21316,0.65142,0.88239,0.94631,0.94173,0.98366,0.69242,1.0817,0.57907,0.88051,0.0006932,0.0006932,0.0006932
35,92.3988,1.19667,0.64252,0.86234,0.95654,0.9336,0.98391,0.69145,1.06911,0.58199,0.88057,0.0006536,0.0006536,0.0006536
36,95.0368,1.23695,0.6623,0.88273,0.94926,0.93793,0.9814,0.6801,1.08553,0.58267,0.88086,0.000614,0.000614,0.000614
37,97.5474,1.22401,0.64922,0.884,0.95449,0.93793,0.98362,0.68272,1.075,0.55802,0.88003,0.0005744,0.0005744,0.0005744
38,100.193,1.22383,0.6508,0.88432,0.95014,0.94173,0.98,0.67941,1.09052,0.57569,0.8849,0.0005348,0.0005348,0.0005348
39,102.694,1.2066,0.633,0.86954,0.9517,0.94309,0.97978,0.6857,1.05727,0.56785,0.88271,0.0004952,0.0004952,0.0004952
40,105.2,1.17509,0.62261,0.87126,0.94958,0.94431,0.98236,0.69626,1.04623,0.55428,0.87936,0.0004556,0.0004556,0.0004556
41,124.701,1.16737,0.67935,0.88526,0.95274,0.9458,0.98158,0.68386,1.09024,0.58217,0.88223,0.000416,0.000416,0.000416
